,Madame Bovary,Gustave Flaubert
,Salammbô,Gustave Flaubert
,Le Candidat (vaudeville),Gustave Flaubert
,La Tentation de saint Antoine,Gustave Flaubert
,Trois Contes (Un coeur simple,Gustave Flaubert
,Le Château des coeurs (théâtre),Gustave Flaubert
,Bouvard et Pécuchet (inachevé),Gustave Flaubert
,Par les champs et les grèves (Voyage en Bretagne),Gustave Flaubert
,À bord de la Cange,Gustave Flaubert
,OEuvres de jeunesse inédites,Gustave Flaubert
,Dictionnaire des idées reçues,Gustave Flaubert
